vOTU,AI05,AI15,AI20,AI28,AI40,AII05,AII15,AII20,AII28,AII40,AIII05,AIII15,AIII20,AIII28,AIII40
NODE_2489_length_4599_cov_4_55348,0,0,16.62652133,0,0,0,0,14.94231938,0,0,0,0,21.04059732,0,0
NODE_4391_length_2981_cov_6_33766,0,0,22.65207266,0,0,0,52.39261723,17.30545991,0,0,0,34.03299988,44.80322995,0,0
NODE_3267_length_3743_cov_12_3381,0,0,40.80373354,10.47061105,7.969042348,0,0,38.17380862,11.56925095,11.67083804,0,0,43.03758542,11.18537706,8.860047905
NODE_3512_length_3548_cov_3_90123,0,0,14.10129027,0,0,0,0,9.925190242,0,0,0,0,15.74366373,0,0
NODE_918_length_9920_cov_10_2915,0,0,35.82827829,73.60324623,0,0,0,4.689925059,143.3800858,4.467472128,0,0,0,76.22200244,0
NODE_231_length_23332_cov_6_99716,0,0,25.57734033,0,0,0,0,10.14332629,0,0,0,0,18.09785643,0,0
NODE_1986_length_5433_cov_100_579,0,0,347.5317992,154.6904046,12.57673508,0,48.73144639,285.6855125,276.0895033,11.53231177,0,37.99181037,369.5346865,36.01614538,11.47878128
NODE_6715_length_2186_cov_1_87658,0,0,6.525597092,0,0,0,6.943599874,8.14374584,0,0,0,0,9.269633783,0,0
NODE_2184_length_5047_cov_2_41346,0,0,8.725798411,5.115150974,0,0,0,8.361881889,0,0,0,0,10.4835144,0,0
NODE_569_length_13461_cov_5_77898,0,0,15.42641152,0,0,0,25.96485528,16.76011979,0,0,0,17.68694365,21.70271402,0,0
NODE_1937_length_5531_cov_4_74251,0,0,10.45095626,0,0,0,6.985682297,7.889253782,0,0,0,0,12.43308023,0,0
NODE_1273_length_7714_cov_5_18305,0,0,16.2764893,0,0,0,0,15.12409942,0,0,0,0,16.03793782,0,0
NODE_3029_length_3959_cov_3_56148,0,0,12.62615529,0,0,0,0,7.889253782,0,0,0,0,11.8077478,0,0
NODE_2321_length_4851_cov_3_93766,0,0,12.22611869,0,0,0,0,7.707473741,0,0,0,0,10.07888753,0,0
NODE_2863_length_4144_cov_12_6764,0,0,24.42723509,0,0,0,0,19.99580452,0,0,0,0,21.73949828,0,0
NODE_5876_length_2428_cov_3_67425,0,0,8.450773246,0,0,0,9.721039823,0,0,0,0,0,15.30225259,0,0
NODE_1243_length_7884_cov_4_41385,0,0,15.72643897,0,0,0,0,13.23358699,0,0,0,0,12.39629597,0,0
NODE_4354_length_3000_cov_2_19898,0,0,8.07573893,0,0,0,0,0,0,0,0,0,8.46038004,0,0
NODE_2197_length_5031_cov_4_09264,0,0,14.8513589,0,0,0,0,0,0,0,0,0,0,0,0
NODE_4524_length_2915_cov_2_83392,0,0,6.250571927,0,0,0,0,9.852478225,0,0,0,0,11.36633666,0,0
NODE_1361_length_7312_cov_10_5393,0,0,38.60353222,0,7.591362616,0,0,25.74005381,0,10.42410163,0,0,22.99016315,0,9.60202236
NODE_1416_length_7099_cov_8_7314,0,0,31.62789395,0,0,0,10.18394648,31.4479471,0,0,0,0,34.72434243,0,0
NODE_5533_length_2534_cov_5_65752,0,0,20.02683246,0,0,0,0,11.63392263,0,0,0,0,14.93440998,0,0
NODE_1468_length_6896_cov_3_38869,0,0,12.02610039,0,0,0,0,0,0,0,0,0,0,0,0
NODE_2517_length_4562_cov_3_51764,0,0,12.82617359,0,0,0,0,9.488918143,0,0,0,0,10.55708292,0,0
NODE_1866_length_5685_cov_11_654,0,0,47.62935809,0,0,0,0,36.57414426,0,0,0,0,27.36749022,0,0
